match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0001549032aea6d1,auto-de5c5502bec1,uw_v2@9713344,uw_v2,9713344,prospect@1b5f3d1,prospect,1b5f3d1,vase,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2650,0,6,4,4933,2460,6,7,ok,,6.253,n-62-31-11,29004392,2026-08-02T15:22:18+0200
000526f2ca3e2791,auto-de5c5502bec1,prospect@1b5f3d1,prospect,1b5f3d1,e_harc@6db8844,e_harc,6db8844,quarry,official,1,0,rating,a,a,1.0,core_destroyed,66,,26,190,10,28,56,0,7,14,ok,,3.579,n-62-29-24,29004392,2026-08-02T15:20:10+0200
00079de70595f256,auto-de5c5502bec1,v233_i@902be71,v233_i,902be71,prospect_rushonly@1b5f3d1,prospect_rushonly,1b5f3d1,longship,official,1,0,rating,b,b,0.0,core_destroyed,34,,122,120,10,8,23,90,11,9,ok,,6.592,n-62-31-24,29004392,2026-08-02T15:24:53+0200
00141d9843d2beef,auto-de5c5502bec1,prospect@1b5f3d1,prospect,1b5f3d1,v233_i@902be71,v233_i,902be71,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,45,,10,170,13,13,107,170,8,3,ok,,4.348,n-62-29-21,29004392,2026-08-02T15:22:34+0200
001a4fdc22ad40e4,auto-de5c5502bec1,prospect_rushonly@1b5f3d1,prospect_rushonly,1b5f3d1,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,quarry,official,1,0,rating,b,b,0.0,core_destroyed,44,,68,50,11,9,27,70,10,15,ok,,7.76,n-62-31-11,29004392,2026-08-02T15:25:24+0200
001bd8d5a3f88a5c,auto-de5c5502bec1,prospect@1b5f3d1,prospect,1b5f3d1,vanguard@c407e79,vanguard,c407e79,pinch,official,1,0,rating,a,a,1.0,core_destroyed,41,,31,80,9,7,38,130,12,8,ok,,4.375,n-62-29-16,29004392,2026-08-02T15:22:28+0200
0024681513f67921,auto-de5c5502bec1,e_condc@6db8844,e_condc,6db8844,prospect@1b5f3d1,prospect,1b5f3d1,fjord,official,1,0,rating,b,b,0.0,core_destroyed,50,,104,170,8,5,13,290,13,15,ok,,4.35,n-62-21-104,29004392,2026-08-02T15:20:49+0200
002d62a997f8ba98,auto-de5c5502bec1,prospect@1b5f3d1,prospect,1b5f3d1,e_post2@4a95297,e_post2,4a95297,strait,official,1,0,rating,a,a,1.0,core_destroyed,48,,57,140,10,16,102,0,11,5,ok,,3.668,n-62-29-12,29004392,2026-08-02T15:20:54+0200
002fb4f321ac1c5a,auto-de5c5502bec1,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,prospect@1b5f3d1,prospect,1b5f3d1,sweden,official,1,0,rating,b,b,0.0,core_destroyed,64,,101,0,3,11,57,360,14,17,ok,,4.58,n-62-11-63,29004392,2026-08-02T15:22:43+0200
0039451af1e8bacc,auto-de5c5502bec1,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,prospect@1b5f3d1,prospect,1b5f3d1,aurora,official,1,0,rating,b,b,0.0,core_destroyed,44,,27,80,9,7,17,90,12,8,ok,,5.194,n-62-21-69,29004392,2026-08-02T15:20:58+0200
004042771d14778a,auto-de5c5502bec1,prospect_rushonly@1b5f3d1,prospect_rushonly,1b5f3d1,claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,twins,official,1,0,rating,a,a,1.0,core_destroyed,42,,20,140,12,14,391,0,5,1,ok,,3.825,n-62-31-9,29004392,2026-08-02T15:22:25+0200
00445c41cb5121cc,auto-de5c5502bec1,prospect@1b5f3d1,prospect,1b5f3d1,lockin@9713344,lockin,9713344,fjord,official,1,0,rating,a,a,1.0,core_destroyed,37,,33,200,13,11,48,100,12,4,ok,,6.345,n-62-30-25,29004392,2026-08-02T15:20:56+0200
004ae89b4c019623,auto-de5c5502bec1,vg_v6@9713344,vg_v6,9713344,prospect_rushonly@1b5f3d1,prospect_rushonly,1b5f3d1,vault,official,1,0,rating,b,b,0.0,core_destroyed,61,,116,0,5,4,218,260,9,12,ok,,6.886,n-62-12-2,29004392,2026-08-02T15:27:28+0200
005cff5cdef962d4,auto-de5c5502bec1,frontier_v2@9713344,frontier_v2,9713344,prospect_rushonly@1b5f3d1,prospect_rushonly,1b5f3d1,pinch,official,1,0,rating,b,b,0.0,core_destroyed,33,,8,0,8,4,32,90,10,15,ok,,3.114,n-62-29-17,29004392,2026-08-02T15:22:38+0200
00815a95357d25e6,auto-de5c5502bec1,v233_d@9713344,v233_d,9713344,prospect@1b5f3d1,prospect,1b5f3d1,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2463,80,0,7,8919,7140,16,15,ok,,13.053,n-62-29-23,29004392,2026-08-02T15:21:55+0200
