match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00076f57d09aa117,auto-852f773c9500,gobbleglitch@a79dd98,gobbleglitch,a79dd98,green@2a19238,green,2a19238,showdown,official,1,0,rating,a,a,1.0,core_destroyed,27,,127,0,9,1,500,0,1,10,ok,,2.067,n-62-31-14,29024159,2026-08-04T12:37:52+0200
000b9af4f3b60684,auto-852f773c9500,hardshell@2a19238,hardshell,2a19238,claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,sweden,official,1,0,rating,a,draw,0.5,coinflip,1000,,3000,0,0,1,3000,0,0,1,ok,,1.048,n-62-31-14,29024159,2026-08-04T12:44:53+0200
000c6f4ead3851a3,auto-852f773c9500,strategist@2a19238,strategist,2a19238,undertow@da3fd8a,undertow,da3fd8a,runestone,official,1,0,rating,b,b,0.0,core_destroyed,57,,380,230,5,34,70,330,11,35,ok,,4.393,n-62-28-29,29024160,2026-08-04T12:41:24+0200
000d98690cb23bb4,auto-852f773c9500,green@2a19238,green,2a19238,vg_v7@9713344,vg_v7,9713344,strait,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2665,0,5,36,6553,4960,18,16,ok,,16.69,n-62-31-24,29024159,2026-08-04T12:41:59+0200
0013d0e862204f12,auto-852f773c9500,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,hardshell@2a19238,hardshell,2a19238,string,official,1,0,rating,a,a,1.0,core_destroyed,222,,94,1960,27,16,29,260,1,11,ok,,6.267,n-62-11-60,29024159,2026-08-04T12:45:12+0200
001e7bfbd3b6ad3d,auto-852f773c9500,strategist@2a19238,strategist,2a19238,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,aurora,official,1,0,rating,b,b,0.0,core_destroyed,111,,5,470,8,46,259,260,6,8,ok,,6.949,n-62-30-23,29024160,2026-08-04T12:39:18+0200
00233767ea1b658e,auto-852f773c9500,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,strategist@2a19238,strategist,2a19238,strait,official,1,0,rating,a,a,1.0,core_destroyed,42,,26,0,11,4,284,90,5,25,ok,,6.441,n-62-21-23,29024160,2026-08-04T12:41:56+0200
0026bd58dc9d5dba,auto-852f773c9500,vigil@e22eda8,vigil,e22eda8,green@2a19238,green,2a19238,twins,official,1,0,rating,a,a,1.0,core_destroyed,29,,44,50,11,8,449,0,1,14,ok,,3.609,n-62-11-51,29024159,2026-08-04T12:40:53+0200
002a3ab125007b91,auto-852f773c9500,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,green@2a19238,green,2a19238,hive,official,1,0,rating,a,a,1.0,core_destroyed,54,,20,150,11,15,485,0,1,26,ok,,3.524,n-62-31-10,29024159,2026-08-04T12:39:14+0200
002b03973cec34e3,auto-852f773c9500,autistimusprime@ecd4d24,autistimusprime,ecd4d24,green@2a19238,green,2a19238,sprint,official,1,0,rating,a,a,1.0,core_destroyed,22,,121,0,9,1,382,0,4,8,ok,,2.122,n-62-11-64,29024159,2026-08-04T12:38:12+0200
003ca0271f04f571,auto-852f773c9500,gobbleglitch@6cdc440,gobbleglitch,6cdc440,green@2a19238,green,2a19238,duel,official,1,0,rating,a,a,1.0,core_destroyed,21,,26,0,11,6,493,0,0,2,ok,,2.399,n-62-30-24,29024159,2026-08-04T12:37:56+0200
0043cfb24de6b2b0,auto-852f773c9500,strategist@2a19238,strategist,2a19238,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,hive,official,1,0,rating,b,b,0.0,core_destroyed,48,,219,100,5,39,68,0,11,4,ok,,4.588,n-62-21-99,29024160,2026-08-04T12:40:45+0200
0047fefd1d85bedc,auto-852f773c9500,vanguard_oracle@902be71,vanguard_oracle,902be71,green@2a19238,green,2a19238,aurora,official,1,0,rating,a,a,1.0,core_destroyed,43,,70,170,14,9,564,0,0,2,ok,,4.45,n-62-11-50,29024159,2026-08-04T12:40:26+0200
004ccd0389619a82,auto-852f773c9500,green@2a19238,green,2a19238,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,vault,official,1,0,rating,b,b,0.0,core_destroyed,28,,483,40,1,15,23,100,12,10,ok,,4.091,n-62-31-9,29024159,2026-08-04T12:39:31+0200
004d79db595c105f,auto-852f773c9500,frontier_v1@9713344,frontier_v1,9713344,green@2a19238,green,2a19238,skerry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2395,0,10,4,7807,4920,0,13,ok,,4.718,n-62-29-30,29024159,2026-08-04T12:39:32+0200
00516ca429f48254,auto-852f773c9500,strategist@2a19238,strategist,2a19238,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,atoll,official,1,0,rating,b,b,0.0,core_destroyed,77,,202,330,5,42,60,180,12,6,ok,,8.777,n-62-21-6,29024160,2026-08-04T12:38:21+0200
0057e55e99dbdd5c,auto-852f773c9500,hardshell@2a19238,hardshell,2a19238,e_harc@6db8844,e_harc,6db8844,duel,official,1,0,rating,b,b,0.0,titanium_collected,1000,,3379,1160,8,49,8551,6170,9,17,ok,,7.899,n-62-12-1,29024159,2026-08-04T12:42:54+0200
00582b04ae4ec9c8,auto-852f773c9500,vanguard_oracle@902be71,vanguard_oracle,902be71,strategist@2a19238,strategist,2a19238,sprint,official,1,0,rating,a,a,1.0,core_destroyed,31,,101,50,9,6,31,70,6,21,ok,,3.696,n-62-21-97,29024160,2026-08-04T12:42:16+0200
0058f32fa65d689b,auto-852f773c9500,green@2a19238,green,2a19238,heimdall@daf0de0,heimdall,daf0de0,sprint,official,1,0,rating,b,b,0.0,core_destroyed,17,,507,0,0,1,58,0,11,1,ok,,3.657,n-62-12-1,29024159,2026-08-04T12:38:22+0200
005d9af88216ca6d,auto-852f773c9500,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,green@2a19238,green,2a19238,runestone,official,1,0,rating,a,a,1.0,core_destroyed,36,,43,0,11,5,560,60,1,5,ok,,3.623,n-62-21-98,29024159,2026-08-04T12:40:05+0200
005dc89a268bd7a5,auto-852f773c9500,attack_wave_v1@9713344,attack_wave_v1,9713344,green@2a19238,green,2a19238,quarry,official,1,0,rating,b,b,0.0,harvesters,1000,,2598,0,6,4,2761,0,4,20,ok,,4.265,n-62-31-24,29024159,2026-08-04T12:37:57+0200
006a3edebcee9fb2,auto-852f773c9500,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,green@2a19238,green,2a19238,sprint,official,1,0,rating,a,a,1.0,core_destroyed,32,,20,0,11,7,516,0,0,0,ok,,3.263,n-62-29-26,29024159,2026-08-04T12:38:43+0200
