match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0017dd20fcf060f0,auto-d4675388d65e,bastion@840a180,bastion,840a180,spar_sniper@aa24129,spar_sniper,aa24129,skerry,all_official,1,0,rating,b,b,0.0,core_destroyed,69,,2,430,10,27,49,330,6,17,ok,,3.52,n-62-11-61,29052444,2026-08-08T11:36:19+0200
0032a91c40ab1579,auto-d4675388d65e,spar_sniper@aa24129,spar_sniper,aa24129,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,pinch,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,20,240,8,11,66,0,10,8,ok,,7.679,n-62-21-60,29052444,2026-08-08T11:36:30+0200
0032b48e060e128e,auto-d4675388d65e,vidar2@544eeb3,vidar2,544eeb3,spar_sniper@aa24129,spar_sniper,aa24129,vase,all_official,1,0,rating,b,b,0.0,core_destroyed,320,,523,380,5,5,20,700,9,17,ok,,7.482,n-62-31-16,29052444,2026-08-08T11:40:04+0200
003964c52b9bae92,auto-d4675388d65e,skadi@6a2af02,skadi,6a2af02,spar_sniper@aa24129,spar_sniper,aa24129,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,490,,6,460,5,8,126,2130,12,16,ok,,7.359,n-62-29-9,29052444,2026-08-08T11:37:36+0200
003c8ae803193d76,auto-d4675388d65e,spar_sniper@aa24129,spar_sniper,aa24129,mjolnir@2e6c876,mjolnir,2e6c876,sweden,all_official,1,0,rating,a,a,1.0,core_destroyed,728,,229,4020,27,23,2241,3790,3,3,ok,,23.103,n-62-31-14,29052444,2026-08-08T11:38:04+0200
003f5198bb4b8b40,auto-d4675388d65e,spar_sniper@aa24129,spar_sniper,aa24129,ullr@7d1ab4e,ullr,7d1ab4e,showdown,all_official,1,0,rating,a,a,1.0,core_destroyed,757,,9,170,6,8,10,800,6,6,ok,,6.085,n-62-29-21,29052444,2026-08-08T11:39:51+0200
004830e50edbee4d,auto-d4675388d65e,gobbleglitch@6cdc440,gobbleglitch,6cdc440,spar_sniper@aa24129,spar_sniper,aa24129,archipelago,all_official,1,0,rating,b,b,0.0,core_destroyed,137,,59,0,8,0,10,260,8,10,ok,,3.878,n-62-12-5,29052444,2026-08-08T11:36:08+0200
005500e8bc8cebc0,auto-d4675388d65e,jotunn@6b39ebb,jotunn,6b39ebb,spar_sniper@aa24129,spar_sniper,aa24129,moonrise,all_official,1,0,rating,b,b,0.0,core_destroyed,77,,70,0,8,7,24,350,6,26,ok,,3.504,n-62-21-66,29052444,2026-08-08T11:37:27+0200
0059b53d852b1fd8,auto-d4675388d65e,tempest@90fc9f3,tempest,90fc9f3,spar_sniper@aa24129,spar_sniper,aa24129,fjord,all_official,1,0,rating,b,b,0.0,core_destroyed,58,,68,0,6,2,8,350,8,30,ok,,4.083,n-62-29-13,29052444,2026-08-08T11:39:22+0200
005b3d18f2386467,auto-d4675388d65e,vidar@561800a,vidar,561800a,spar_sniper@aa24129,spar_sniper,aa24129,longship,all_official,1,0,rating,b,b,0.0,core_destroyed,385,,8,1650,12,20,18,1690,9,23,ok,,11.195,n-62-21-98,29052444,2026-08-08T11:41:06+0200
0062e0898e866a28,auto-d4675388d65e,spar_mender@7ed1acc,spar_mender,7ed1acc,spar_sniper@aa24129,spar_sniper,aa24129,moonrise,all_official,1,0,rating,b,b,0.0,core_destroyed,281,,10,0,8,11,9,10,7,8,ok,,5.219,n-62-31-7,29052444,2026-08-08T11:38:02+0200
0063bd30ed61c52d,auto-d4675388d65e,vidar@ee47958,vidar,ee47958,spar_sniper@aa24129,spar_sniper,aa24129,sweden,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,3204,3390,4,13,258,50,11,13,ok,,24.065,n-62-31-4,29052444,2026-08-08T11:41:53+0200
00776f0cc9c0ebb0,auto-d4675388d65e,spar_sniper@aa24129,spar_sniper,aa24129,odin@38e1456,odin,38e1456,snowflake,all_official,1,0,rating,a,a,1.0,core_destroyed,62,,42,520,7,22,10,370,8,21,ok,,3.534,n-62-21-89,29052444,2026-08-08T11:37:06+0200
0084a530fbd3a420,auto-d4675388d65e,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,spar_sniper@aa24129,spar_sniper,aa24129,snowflake,all_official,1,0,rating,a,a,1.0,core_destroyed,65,,81,550,9,21,7,140,8,11,ok,,3.524,n-62-11-55,29052444,2026-08-08T11:37:54+0200
008ea135345c464b,auto-d4675388d65e,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,spar_sniper@aa24129,spar_sniper,aa24129,bridge,all_official,1,0,rating,b,b,0.0,core_destroyed,209,,352,0,6,4,10,0,9,5,ok,,4.823,n-62-21-1,29052444,2026-08-08T11:37:13+0200
00b26e54d889c05d,auto-d4675388d65e,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,spar_sniper@aa24129,spar_sniper,aa24129,lighthouse,all_official,1,0,rating,b,b,0.0,core_destroyed,92,,135,750,7,17,21,850,8,33,ok,,4.142,n-62-30-23,29052444,2026-08-08T11:39:56+0200
00b4e3280ee8193c,auto-d4675388d65e,spar_sniper@aa24129,spar_sniper,aa24129,lockin@90fc9f3,lockin,90fc9f3,sprint,all_official,1,0,rating,a,a,1.0,core_destroyed,41,,10,130,7,14,315,0,6,0,ok,,3.322,n-62-31-21,29052444,2026-08-08T11:36:42+0200
